model,fold,f1_weighted,bal_accuracy,mae,qwk,mcc,roc_auc_class_0,roc_auc_class_1,roc_auc_class_2
clinical_mri,0,0.5081807081807082,0.4481481481481482,0.6666666666666666,0.38366988586479367,0.2330006465871794,0.7391304347826086,0.45294117647058824,0.6640211640211641
clinical_mri,1,0.49861965990998247,0.4689814814814815,0.7692307692307693,0.21875,0.19532040228158312,0.654891304347826,0.5705882352941176,0.5820105820105821
clinical_mri,2,0.6503682697231085,0.5847222222222221,0.5128205128205128,0.5136399064692128,0.4205965736755393,0.8423913043478262,0.7176470588235294,0.7804232804232805
clinical_mri,3,0.6529961266803372,0.5597222222222222,0.5384615384615384,0.4840900965319985,0.44402757927665504,0.6603260869565217,0.5676470588235294,0.7169312169312169
clinical_mri,4,0.5128205128205128,0.35185185185185186,0.6666666666666666,0.42317173377156947,0.18284804104375063,0.7173913043478262,0.3235294117647059,0.7777777777777778
clinical_mri,5,0.6083168967784353,0.5345029239766083,0.5384615384615384,0.4896580835795694,0.3589661199050044,0.8055555555555556,0.7176470588235294,0.8263157894736842
clinical_mri,6,0.6290115532734274,0.46315789473684205,0.5263157894736842,0.5143769968051117,0.36309078322729166,0.8405797101449275,0.6691176470588235,0.7590027700831026
clinical_mri,7,0.511280959752322,0.4412280701754386,0.7894736842105263,0.22691705790297334,0.19306554900630457,0.6869565217391305,0.6029411764705883,0.7091412742382271
clinical_mri,8,0.6089396284829721,0.46296296296296297,0.5263157894736842,0.5465393794749404,0.3509183541968681,0.7188405797101449,0.4242424242424242,0.8500000000000001
clinical_mri,9,0.5046230440967282,0.4222222222222222,0.7368421052631579,0.2686192468619246,0.18751210731929072,0.6492753623188406,0.5212121212121212,0.7194444444444444
clinical,0,0.4915824915824915,0.450462962962963,0.717948717948718,0.3094435075885329,0.2140388245097863,0.7228260869565217,0.4176470588235294,0.7288359788359788
clinical,1,0.4157446601469371,0.3421296296296296,0.8461538461538461,0.1681304893350063,0.07180771179676464,0.654891304347826,0.5294117647058824,0.6441798941798942
clinical,2,0.5977769357079702,0.5888888888888889,0.6153846153846154,0.3709677419354839,0.35637991470102354,0.8125,0.7029411764705882,0.7566137566137566
clinical,3,0.5624902480886254,0.5541666666666667,0.6410256410256411,0.36598582742809505,0.31867801439053683,0.7377717391304347,0.8,0.8174603174603174
clinical,4,0.5001088328762353,0.4458333333333333,0.6923076923076923,0.33783195472355243,0.21395834370950712,0.7703804347826086,0.4705882352941177,0.7989417989417991
